candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=1.0_w2=0.75_w3=0.75,1.0,0.75,0.75,window_late,5.334,0.082,3,False
blend_w1=1.0_w2=0.75_w3=1.0,1.0,0.75,1.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.75_w3=1.0,1.0,0.75,1.0,window_late,5.3229,0.0708,3,False
blend_w1=1.0_w2=1.0_w3=0.0,1.0,1.0,0.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.0,1.0,1.0,0.0,window_late,5.3838,0.1318,3,False
blend_w1=1.0_w2=1.0_w3=0.25,1.0,1.0,0.25,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.25,1.0,1.0,0.25,window_late,5.3607,0.1087,3,False
blend_w1=1.0_w2=1.0_w3=0.5,1.0,1.0,0.5,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.5,1.0,1.0,0.5,window_late,5.3438,0.0917,3,False
blend_w1=1.0_w2=1.0_w3=0.75,1.0,1.0,0.75,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.75,1.0,1.0,0.75,window_late,5.3309,0.0789,3,False
blend_w1=1.0_w2=1.0_w3=1.0,1.0,1.0,1.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=1.0_w3=1.0,1.0,1.0,1.0,window_late,5.3209,0.0688,3,False
