site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S024,13,test,119,0.9233434069276756,12.611154839194894
S024,13,train,629,0.9376168875118671,12.670806855396696
S024,13,valid,62,1.0281415451445277,17.629731099097654
S024,14,future,74,0.6662852130692953,14.02884432716139
S024,14,test,119,0.9711147837273596,10.625777496949992
S024,14,train,629,0.9369044581488459,11.24062319885252
S024,14,valid,61,1.0504901667429538,15.558487322431331
S025,10,future,88,0.4572674538971093,21.61516529201677
S025,10,test,122,1.0106348094586102,10.769377219141974
S025,10,train,376,0.9224475448224562,14.007127322676439
S025,10,valid,62,1.100383966722902,14.160294477071803
S025,11,future,88,0.38662656051137545,29.18258009693314
S025,11,test,122,0.9479175522337364,11.973398837523172
S025,11,train,378,0.887079002615703,15.882055048339428
S025,11,valid,62,1.101363511467671,17.6999838104455
S025,12,future,88,0.35855766353230095,32.195329761323784
S025,12,test,122,1.0062055240573506,11.276493037826782
S025,12,train,378,0.8980500887597542,15.745815687638451
S025,12,valid,62,1.133587889871021,17.1983146872079
S025,13,future,88,0.3328757350160432,31.759790340375606
S025,13,test,122,0.9340153389912637,12.548637195666354
S025,13,train,379,0.8591781027886038,16.162870213594502
S025,13,valid,62,1.160744145506143,19.26962968282174
S025,14,future,89,0.338213319552247,27.96425054304319
S025,14,test,122,1.0074548489071335,10.30291376108536
S025,14,train,379,0.9140706651296951,13.933175094942458
S025,14,valid,61,1.112947517695231,18.222761780894917
S028,10,future,86,1.1530060418360148,17.310678940081132
S028,10,test,122,0.975829502899583,15.689226143415372
S028,10,train,244,1.0472955209579111,12.222378223967032
S028,10,valid,61,0.9047603609009169,17.075138624217818
S028,11,future,86,0.9177550984291457,19.085401177210038
S028,11,test,122,0.9423603516647379,16.360483460616553
S028,11,train,244,1.0256136126428745,13.610035532231468
S028,11,valid,61,0.9249517372954755,21.528334116726132
S028,12,future,86,0.8878600723538376,21.168932736693723
S028,12,test,122,0.9041109401158072,18.883986544551018
