site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
协鑫曲阳三期光伏电站,协鑫曲阳三期光伏,集中式,地调,15.0,15.0,118.719599,34.441605,东海县,鱼塘,2018-06-30,运行,国家电投集团,固定式,多晶硅,集中式,central_local,协鑫曲阳三期光伏,other,0,medium,0,S085,1,,,,118.719599,34.441605
浦利板桥光伏发电站,浦利板桥光伏,集中式,地调,8.0,8.0,119.457597,34.617779,连云区,地面,2018-06-28,运行,连云港浦利新能源发电有限公司,固定式,多晶硅,集中式,central_local,浦利板桥光伏,ground,1,medium,0,S086,1,,,,119.457597,34.617779
易事特城头光伏电站,易事特城头光伏,集中式,地调,10.0,10.0,118.93028,34.86,赣榆区,大棚,2016-01-28,运行,易事特集团股份有限公司,固定式,多晶硅,集中式,central_local,易事特城头光伏,other,1,medium,0,S087,1,,,,118.93028,34.86
福惠泉南岗光伏电站,福惠泉南岗光伏,集中式,地调,5.0,5.0,119.1175,34.29556,灌云县,地面,2015-12-08,运行,朗禾集团,固定式,多晶硅,集中式,central_local,福惠泉南岗光伏,ground,0,medium,0,S088,1,,,,119.1175,34.29556
信诚宁海光伏电站,信诚宁海光伏,集中式,地调,28.0,28.0,119.279872,34.551678,海州区,地面,2025-09-16,运行,国信集团,固定式,单晶硅,集中式,central_local,信诚宁海光伏,ground,0,large,0,S089,1,,,,119.279872,34.551678
中联云台光伏发电站,中联云台光伏,集中式,地调,45.636,45.636,119.35972,34.61194,连云区,鱼塘,2015-12-30,运行,中设国联无锡新能源发展有限公司,固定式,多晶硅,集中式,central_local,中联云台光伏,other,1,large,0,S090,1,,,,119.35972,34.61194
中电青口光伏电站,中电青口光伏,集中式,地调,22.0,22.0,119.16667,34.78333,赣榆区,鱼塘,2016-03-31,运行,国家电力投资集团公司,固定式,单晶硅,集中式,central_local,中电青口光伏,other,1,large,0,S091,1,,,,119.16667,34.78333
顺阳光伏电站,顺阳光伏,集中式,地调,6.0,6.0,119.15381,34.809893,赣榆区,大棚,2014-12-02,运行,顺风光电投资（中国）有限公司,固定式,多晶硅,集中式,central_local,顺阳光伏,other,1,medium,0,S092,1,,,,119.15381,34.809893
华电灌南光伏发电站,华电灌南光伏电站,集中式,地调,35.04,35.04,119.392072,34.106241,灌南县,屋顶,2024-12-26,运行,华电集团,固定式,单晶硅,集中式,central_local,华电灌南,rooftop,0,large,0,S093,1,,,,119.392072,34.106241
大唐利华光伏发电站,大唐利华光伏,集中式,地调,20.0,20.0,119.505,34.33028,灌云县,大棚,2018-06-22,运行,中国大唐集团,固定式,单晶硅,集中式,central_local,大唐利华光伏,other,0,large,0,S094,1,,,,119.505,34.33028
银山湖光伏电站,银山湖光伏,集中式,地调,9.0,9.0,119.00833,35.00472,赣榆区,大棚,2014-12-29,运行,朗禾集团,固定式,多晶硅,集中式,central_local,银山湖光伏,other,1,medium,0,S095,1,,,,119.00833,35.00472
华电曲阳光伏发电站,华电曲阳光伏,集中式,地调,8.0,8.0,118.68306,34.425,东海县,鱼塘,2015-12-28,运行,中国华电集团公司,固定式,多晶硅,集中式,central_local,华电曲阳光伏,other,0,medium,0,S096,1,,,,118.68306,34.425
