site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S077,12,,,0.7696406586477537,0.539590488490665,,,486.0,3.0,,,17.150684702574974,32.25652688387608,unstable_or_mild,0.23005017015708862,False
S052,14,0.293006340476036,0.5766985905394898,1.0166335561045357,0.6915853781456298,87.0,122.0,305.0,61.0,31.96601040350159,16.970055121054056,9.919436567032644,31.688091042809894,unstable_or_mild,0.32504817795890584,False
S032,13,1.09801149881445,0.48706099412028697,1.2779889381741962,0.5458811266203242,88.0,122.0,542.0,62.0,18.130442306781955,23.713232489429757,11.408190844551957,30.307691311888245,unstable_or_mild,0.7321078115538721,False
S032,14,1.1137514237456256,0.5526876964821019,1.3267294507018235,0.5163983490283872,88.0,122.0,543.0,61.0,16.5183162139739,17.74658979044753,10.724712200024305,30.089972496749557,unstable_or_mild,0.8103311016734362,False
S032,10,1.4188179085583954,0.5310847193408836,1.192533136626528,0.5064968243853218,87.0,122.0,543.0,62.0,20.81637926403423,19.717748592171475,9.408805350432587,29.566273199588878,unstable_or_mild,0.6860363122412061,False
S052,10,0.40377077563456204,0.6395478640644409,1.0355911231624606,0.6896625784203159,87.0,122.0,304.0,62.0,24.467821012193085,15.53392619034141,11.19617624613708,29.136676703163054,unstable_or_mild,0.34592854474214474,False
S008,13,1.40067868320124,1.0144738969742602,1.11176497478659,0.8678845760678492,90.0,122.0,91.0,62.0,30.005097433115317,16.549375289455938,18.851122230266792,28.79909866656114,unstable_or_mild,0.2438803987187409,False
S022,13,0.27539432409620085,0.7123324478427667,1.1822886452081236,0.6710706777990375,90.0,122.0,861.0,62.0,40.06479679621234,17.292118599674456,13.029818263168519,27.923911087111208,unstable_or_mild,0.5112179674090861,False
S076,12,0.903712190443369,,1.0610506963802417,0.8839256139610243,48.0,,58.0,46.0,24.718645388609957,,17.28591112856072,27.524645449436214,unstable_or_mild,0.17712508241921743,False
S019,11,0.6127493251566093,0.8178152748000295,1.0216764347662097,0.9144891330328953,90.0,122.0,882.0,56.0,33.257689595913945,22.99618804711894,16.011891579377668,27.287345838163617,unstable_or_mild,0.10718730173331448,False
S019,12,0.5942154486050124,0.8555561832896635,1.0237591708956288,0.9163911035930595,90.0,122.0,885.0,56.0,35.95483523558143,21.98331731360323,16.55328146999716,26.307359528762415,unstable_or_mild,0.10736806730256931,False
S008,12,1.4179388552964416,0.9989534297556679,1.140586687952986,0.8806661351653489,90.0,122.0,91.0,62.0,31.396964355609626,14.788876122562725,17.979329697360125,26.302488474611202,unstable_or_mild,0.25992055278763715,False
S002,12,1.0566767789998894,1.0074006937391404,0.7612208663218583,1.4284141889288922,86.0,122.0,61.0,62.0,15.6143132791455,14.937686032500785,28.64534389708796,26.175154446421022,unstable_or_mild,0.6671933226070339,False
S022,11,0.33378602849117994,0.704829365758879,1.1785887312993752,0.6523007497052737,90.0,122.0,856.0,62.0,36.37390635765818,17.873425438420277,13.101738816869712,25.817314992077662,unstable_or_mild,0.5262879815941015,False
S019,10,0.7842019733896937,0.8226400912485763,1.0405484037038286,0.886368006228913,90.0,121.0,878.0,56.0,25.136102788376537,24.780138185091637,14.707127559811617,25.654801037243075,unstable_or_mild,0.15418039747491563,False
S115,11,1.003406008349519,1.016428975029129,0.967633063094458,0.9049105444709756,89.0,109.0,888.0,62.0,28.650890972793373,28.857464048048776,26.60086456126069,25.50766680164349,unstable_or_mild,0.06272251862348233,False
S022,12,0.3084018352149388,0.7094174227795439,1.1765216856679617,0.6739423840417132,90.0,122.0,860.0,62.0,40.573100902596096,19.46912094752244,13.305650778467188,25.449608185387333,unstable_or_mild,0.5025793016262484,False
S019,14,0.650368808539449,0.8513000477873449,1.0389428865967751,0.9323983894154687,90.0,122.0,893.0,56.0,26.92823669488142,24.154360942001425,14.173566405770508,25.403001446426654,unstable_or_mild,0.10654449718130643,False
S077,11,,,0.7720518650054154,0.6287066032396934,,,479.0,3.0,,,16.879632842367286,25.33249990301104,unstable_or_mild,0.14334526176572204,False
S033,12,1.0772147039285151,1.1017907851612614,1.0510559835749695,0.8746473318201367,89.0,122.0,110.0,61.0,20.254203144642066,14.816732203136674,15.181783002276394,25.23755220504566,unstable_or_mild,0.1764086517548329,False
S076,14,0.932476931984552,,1.0160281012980907,0.9347849566891604,47.0,,58.0,45.0,20.416998809744147,,17.271624314276217,25.183818872618236,unstable_or_mild,0.08124314460893034,False
