site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S042,1,0.6795229179275196,0.6795229179275196,103,0.78,0.1004770820724804
S042,2,0.6512879412549804,0.6512879412549804,128,0.78,0.12871205874501968
S042,3,0.7596979475072564,0.7596979475072564,162,0.78,0.02030205249274364
S042,4,0.8150952986243303,0.8150952986243303,221,0.78,0.03509529862433025
S042,5,0.8293280949344175,0.8293280949344175,202,0.78,0.04932809493441748
S042,6,0.8252690076584255,0.8252690076584255,164,0.78,0.04526900765842545
S042,11,0.921376074543874,0.78,23,0.78,0.0
S042,12,0.7612339533043719,0.7612339533043719,74,0.78,0.01876604669562809
S044,3,0.7318674219624985,0.7318674219624985,159,0.78,0.04813257803750148
S044,4,0.1,0.1,220,0.78,0.68
S044,5,0.1,0.1,195,0.78,0.68
S044,6,0.1,0.1,152,0.78,0.68
S045,3,0.1,0.1,105,0.78,0.68
S045,4,0.8478856709905517,0.8478856709905517,223,0.78,0.06788567099055165
S045,5,0.9426582692306112,0.9426582692306112,203,0.78,0.16265826923061122
S045,6,0.8666369255637218,0.8666369255637218,159,0.78,0.08663692556372182
S046,1,,0.78,0,0.78,0.0
S046,2,,0.78,0,0.78,0.0
S046,3,,0.78,0,0.78,0.0
S046,4,,0.78,0,0.78,0.0
S046,5,,0.78,0,0.78,0.0
S046,6,,0.78,0,0.78,0.0
S046,12,,0.78,0,0.78,0.0
S047,1,0.5630862907577574,0.5630862907577574,192,0.78,0.21691370924224262
S047,2,0.5409980242168061,0.5409980242168061,213,0.78,0.23900197578319393
S047,3,0.6582350554009047,0.6582350554009047,318,0.78,0.12176494459909537
S047,4,0.6730188428315843,0.6730188428315843,385,0.78,0.10698115716841572
S047,5,0.6659881079440207,0.6659881079440207,459,0.78,0.11401189205597928
S047,6,0.6846163313914101,0.6846163313914101,515,0.78,0.09538366860858993
S047,7,0.7446379686656501,0.7446379686656501,251,0.78,0.0353620313343499
S047,8,0.7864871369338466,0.7864871369338466,358,0.78,0.006487136933846616
S047,9,0.7262064177725129,0.7262064177725129,251,0.78,0.05379358222748709
S047,10,0.7311793938228477,0.7311793938228477,242,0.78,0.04882060617715234
S047,11,0.7240124687889249,0.7240124687889249,162,0.78,0.05598753121107514
